source_file,src_type,title,authors,year,journal,doi,url,abstract
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,The effects of transformational leadership on teacher attitudes and student performance in Singapore,"Koh, W.L.; Steers, R.M.; Terborg, J.R.",1995,Journal of Organizational Behavior,10.1002/job.4030160404,,"Transformational leadership theory was examined in 89 schools in Singapore using a split sample technique (N = 846 teachers). The study sought to examine the influence of transformational leader behavior by school principals as it related to organizational commitment, organizational citizenship behavior, teacher satisfaction with leader, and student academic performance. Attitudinal and behavioral data were collected from both teachers and principals; student academic performance was collected from school records. School level analyses showed that transformational leadership had significant add‐on effects to transactional leadership in the prediction of organizational commitment, organizational citizenship behavior, and teacher satisfaction. Moreover, transformational leadership was found to have indirect effects on student academic achievement. Finally, it was found that transactional leadership had little add‐on effect on transformational leadership in predicting outcomes. Implications and directions for future research are discussed. Copyright © 1995 John Wiley & Sons, Ltd."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,Instructional leadership and effective teaching and learning,"Xhomara, N.",2021,Instructional Leadership and Effective Teaching and Learning,10.52305/pvle5825,,"School leadership has been identified as a key function in assuring quality in education. The instructional leadership model refers to the role and the functions of school leadership to employ different management tasks with regards to teaching and learning. Instructional leadership role includes (a) developing mission and goals, (b) managing the educational production function, (c) promoting an academic learning climate, and (d) developing a supportive work environment. Instructional leaders were described as leading from a combination of both expertise and charisma focused primarily on the improvement of student learning outcomes. The monograph, entitled Instructional Leadership and Effective Teaching and Learning and written by Nazmi Xhomara, is dedicated to school instructional leadership as an important factor that influences teaching and learning at school. In the first chapter, the author presents and analyzes educational leadership vs educational management, as well as models of educational leadership and management. The author argues on the importance of different leadership models, such as managerial leadership, transformational leadership, participative leadership, interpersonal leadership, transactional leadership, postmodern leadership, moral leadership, and contingent leadership. Chapters Two, Three, and Four shed light on instructional leadership and teaching and learning, understanding of instructional leadership, the concept and practice of instructional leadership, instructional school leadership and learning environment, attributes of instructional leaders, instructional excellence, instructional leadership time management, effective teaching and teachers, as well as teaching challenges and learning environment. Meanwhile, the author has analyzed constructivism, student intelligence, understanding of supervision, instructional collegial supervision, supervision approaches, understanding of evaluation of teaching and learning, teacher evaluation, and instructional observing instruments in chapters Five, Six, and Seven. Chapters Eight and Nine are focused especially on the research work of the relationships between instructional leadership and teaching, learning, and students' achievements, as well as on an empirical study designed and conducted in Albania as a case. Chapters Ten and Eleven are dedicated to instructional leadership preparation and the future of instructional leadership. As a conclusion, Xhomara indicates that principals are responsible for developing school climates and cultures that support the very best instructional practices. The new era of instructional leadership has predictably placed significant demands for accountability for student success and equity on the principal as well as for the university programs that prepare them. Working in twenty-first-century schools, the instructional leader is held more accountable than ever for student success. © 2021 by Nova Science Publishers, Inc. All rights reserved."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,"The correlation between leadership, culture, and student achievement","Quin, J.L.; Deris, A.R.; Bischoff, G.; Johnson, J.T.",2015,Turkish Online Journal of Educational Technology,,,"Educational institutions across the nation are being unsuccessful at meeting academic goals set by the states and preparing students to be college and career ready. Many schools around the globe are suffering from a shortage of experienced and competent school leaders that can bring about positive change and increase student achievement. Thus, the objective of this study was to determine the correlation between leadership practices, school culture, and student achievement in an effort to build the capacity of principal leaders. A correlational design was used to determine the relationship between principal leadership practices, culture, and achievement in elementary, middle, and high schools. A total of 216 teachers in 31 schools completed the Leadership Practices Inventory and School Culture Survey. A significant correlation was found between (a) leadership practices and school culture and (b) school culture and student achievement. No relationship was established between leadership practices and school culture. The results implied that school leaders who use transformational leadership practices indirectly impact student achievement through creating a positive school culture. It is recommended that principal preparation programs revamp leadership curriculum to develop leaders who can create positive school cultures and manage reform efforts. © The Turkish Online Journal of Educational Technology."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,Leadership for learning in schools in the twenty-first century,"Ng, A.Y.M.",2023,"Educational Leadership: Contemporary Theories, Principles, and Practices",10.1007/9789819984947_2,,"Learning occurs at all levels in school and leadership for learning is an integral part of the school and that for learning to happen, there must be trust, autonomy and high level of teacher professionalism with a strong professional learning community. This chapter synthesizes information from various studies of principal instructional leadership since its inception in the 1980s, its subjection to the various changes that happen in schools during the accountability era and school-based management period, as well as the rising and waning of various theories, to show how it is influenced leading to its evolution into 'leadership for learning' which is also known as 'leading learning'. The original model of instructional leadership is initially described and how the subsequent transformational leadership, distributed leadership, and teacher leadership are incorporated into the original instructional leadership theory to produce an integrated leadership for learning were also elaborated. This chapter re-visits the belief and importance placed on school leadership in addition to its crucial role in students' academic achievement and school improvement. Based on reviews of earlier leadership theories, more insights into leadership across different contexts and professional activities can illustrate some of the benefits of such an approach. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2023. All rights reserved."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,Building coherence for school improvement through integrated school leadership model: evidence from public secondary schools in Ethiopia,"Gao, C.; Wu, H.; Tadesse, E.; Khalid, S.; Duan, C.",2025,Research Papers in Education,10.1080/02671522.2025.2495109,,"The relevance of school principals’ leadership behaviour in promoting school effectiveness and improvement is less discussed and known in emerging countries, explicitly in Sub-Saharan countries. Moreover, there is a significant inconclusive body of literature on the most dominant leadership model (instructional (IL) and transformational (TL) in determining the coherence of school improvement and student academic achievement. Hence, the current study extended the knowledge by examining the impact of IL and TL on implementing the School Improvement Programme (SIP) in the Ethiopian context designed to foster students’ academic performance. This study randomly sampled and surveyed 2880 public secondary school teachers and 70 principals. The study’s findings suggested that school principals’ personal information, gender, academic qualification, and leadership experience determine their leadership style, the coherence of SIP, and school performance. Unlike previous evidence, this study’s findings shed light on the principals’ IL and TL practice, which significantly impacted students’ academic achievement through the mediating role of coherent SIP. © 2025 Informa UK Limited, trading as Taylor & Francis Group."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,‘Analysis of leadership styles developed by teachers and administrators in technical-technological programs: the case of the Cooperative University of Colombia’,"Cuadros, M.D.P.J.; Cáceres Reche, M.P.; Lucena, F.J.H.",2018,International Journal of Leadership in Education,10.1080/13603124.2016.1172734,,"This work is part of a wider research effort in the field of leadership and organizational development, coordinated by the University of Granada and the A.R.E.A Research Group (Analysis of Educational Reality in Andaluz), HUM/672. It was developed in the Cooperative University of Colombia, a country where technical and technological programmes have been promoted in the past 10 years through institutions of higher education. We build on the idea that knowing the leadership styles of teachers and principals is fundamental. The main objective of the study is thus to formulate achievement strategies to improve the educative centre and the educational community at several levels: as individuals, as groups and as an organization. To this aim we conducted a descriptive research with a non-experimental design by the poll method, through the implementation of the ‘Multifactor Leadership Questionnaire by Bass and Avolio–MLQ’ instrument, administered to teachers and principals of technical-technological programmes of the Cooperative University of Colombia. Results show that the elements of Transformational Leadership are predominant over the other types of Leadership. They thus emerge as the key element to strengthen, through individual training processes and organizational improvement strategies, in order to achieve optimal organizational results. This must be carried out from within the educational entity, through the motivation of students and work groups, strengthening the practices of teachers and principals in the development of basic organizational and academic functions. © 2016 Informa UK Limited, trading as Taylor & Francis Group."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,Connection between Taiwanese research on school leadership and global scholarship: A bibliometric review,"Pan, H.-L.W.; Chen, W.-Y.",2021,Journal of Research in Education Sciences,10.6209/jories.202106_66(2).0006,,"1. Background Systematic reviews may inform public policies and contribute to the building of a knowledge base. However, reviews of school leadership research are relatively rare in Taiwan. This study conducted a bibliometric review to analyze journal papers by Taiwanese scholars in the Scopus database published in the previous 20 years. The focus was to examine the connection between Taiwanese and global research on school leadership. 2. Research questions On the basis of the research background, four research questions were proposed: (1) What is the volume and growth trajectory of Taiwanese school leadership research?(2) What is the international visibility of Taiwanese school leadership research as revealed through citation analysis? (3) What are the main topics covered by Taiwanese school leadership research and how do they correspond to the global trend? (4) What is the intellectual structure of Taiwanese school leadership research and how do it connect with the global literature? 3. Theoretical framework (1) Intellectual development of school leadership research The theory movement in the 1950s and 1960s highlighted the development of educational administration research. Griffiths (1959) categorized these theories into four groups: social system and role theory, leadership theory, decision theory, and organizational theory. In the 1970s,contingency theory, which emphasizes the influence of context on leadership, was proposed. With the growing interest in school effectiveness and school reform, the organizational perspective was applied to investigate school leadership. Instructional leadership was also emphasized from then on. In the 1990s, other leadership approaches such as transformational leadership, moral leadership, and distributed leadership became popular in school leadership research. With the power paradigm shifting from a heroic view of leaders to a more dispersed view of power, distributed leadership and teacher leadership were also highly recognized. In response to the international context, leadership for learning, which includes elements of instructional leadership, transformational leadership, and shared leadership, has gained global attention in the new millennium. (2) Retrospective view of school leadership research Systematic reviews did not appear in the field of educational administration until the 1980s. EPPI-Centre (2012) indicated the four key features of systematic reviews. First, a high quality systematic review is explicit and is conducted using transparent methods. Second, it follows a standard set of stages. Third, the review is accountable, replicable, and updateable. Fourth, users should be involved to ensure reports are relevant and useful. The elements of reviews include the central topics of interest, guiding questions, and goals; a conceptual perspective for guiding there view’s selection, evaluation, and interpretation of the studies; sources and types of data; data evaluation and analysis; and the major results of the review (Hallinger, 2014). However, according to Hallinger’s study in 2014, only eight reviews met these criteria. Of the eight studies, some used critical synthesis, some adopted meta-analysis, and some employed both. In recent years, network analysis, data mining, and bibliometric analysis are increasingly being applied in systematic reviews. In addition to a greater diversity in methods, the regions under review have expanded from the United States and United Kingdom to many other regions. This development can be attributed to Hallinger’s effort to initiate international collaboration to build the knowledge base of educational leadership in Asia. Because of the growing interest in the academic development in non-Western countries, he promoted the use of systematic reviews to examine studies in Asia, Africa, Saudi Arabia, and Central and South America, which resulted in more than 30 systematic reviews on educational leadership and management. A wide range of research topics is a prominent feature of educational leadership and management research. Five topics that have gained frequent attention are social justice, female leadership, school leadership preparation and development, trust, and instruction and instructional leadership. The following are the topics of frontier research in this field: principal, school leadership, and student achievement; distributed leadership, instructional leadership, teacher learning, accountability, school improvement, school reform, and leadership development; and race, justice, and urban education. In Taiwan, research reviews on educational leadership are scant. According to Lin’s (2000) review, only a few studies have focused on the impact of principals on students. Pan’s (2010) review indicated that of all the educational leadership studies in government-funded projects and journals,70% of the topics were related to principals’ leadership styles and behaviors. The distribution of the research topics was not sufficiently diversified to reflect global academic development. 4. Research method This study used bibliometric analysis on the Scopus database to analyze Taiwanese school leadership research. The review process was based on the steps of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) developed by Moher et al. (2009). After the process of screening, identification, eligibility determination, and inclusion, 95 papers were included for analysis. Descriptive analysis, citation analysis, co-occurrence analysis of keywords, and co-citation analysis were conducted to address the research questions. 5. Research findings The study had the following three key findings: (1) Concerning the volume of publication in journals, the first English paper on Taiwanese school leadership research did not appear until 2001.Although the promotion of the world university rankings and the launch of the Top University Project have changed the trend of solely using Chinese for academic writing, the number of English studies on school leadership remains limited. Moreover, only 14.7% of papers are published in the core journals of education leadership and management. (2) A citation analysis revealed that the international visibility of Taiwanese school leadership research is low. The average number of papers of the 10 most cited Taiwanese scholars is 3.5, and they have been cited an average of 45.2times. The number of citations of Taiwanese scholars is 3.33 times less than that of African educational leadership research and 11.78 times less than that of research on three emerging regions. (3) The research topics selected by Taiwanese scholars may highlight international academic development; however, some underdeveloped topics remain such as social justice leadership, organizational theory, institutional theory, and social capital. The current co-citation analysis revealed the four schools of thought of Taiwanese school leadership, namely leadership for learning, distributed forms of leadership, leadership behavior and its impact, and social network. 6. Contributions Systematic reviews on school leadership are scarce in Taiwan. The present study conducted a 206 bibliometric analysis to examine the development and features of Taiwanese school leadership literature which is innovative in the research method. The connection between Taiwanese studies on school leadership research and global scholarship has seldom been addressed in relevant research. The current analysis presents the development of Taiwanese school leadership and its connection with global trends, providing critical insights and directions for future research on school leadership in Taiwan. 7. Implications The present findings indicate the future direction of Taiwanese academic development in the field of educational administration. First, publishing more research in English can help increase the international impact of Taiwanese scholars. Greater exposure in English publications can highlight the fruitful outcome of Taiwanese school leadership research internationally. Building the academic connections between Taiwan and other countries will also be beneficial. Second, the current study identified a gap between Taiwanese school leadership research and the global trend. Including more diversified topics may help broaden the scope of research. Some topics recommended for future study include social justice leadership, organizational theory, institutional theory, social capital theory, social justice theory, and critical racialism. Third, conducting periodic replication studies using bibliometric analysis may help track the development of Taiwanese school leadership research. In particular, this method allows for a comparison of the distinguishing features of research among different periods. Fourth, a bibliometric analysis on Taiwanese school leadership research published in Chinese would be of considerable value. Taiwan has several literature databases that collect domestic research. However, the data structure provides insufficient information for an effective bibliometric analysis. To maximize the usefulness of these databases, their data structure design merits special consideration. © 2021, National Taiwan Normal University. All rights reserved."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,Leadership and effective integration of information and communication technology for the age of restructuring,"Thekedam, J.S.",2014,Organisational Flexibility and Competitiveness,10.1007/978-81-322-1668-1_11,,"For effective technology leadership and for a comprehensive and appropriate use of technology in educational institutions, the standards essential for the heads of the institutions are: leadership and vision; learning and teaching; productivity and professional practice; support, management, and operations; assessment and evaluation; understanding of social, legal, and ethical issues related to technology; and interpersonal and communication skills. Information and Communication Technology (ICT) leadership supports effective instructional practices through a combination of interpersonal skills, knowledge of a variety of current technology applications, and the vision to anticipate future technology-based solutions for education. The potential benefits of good ICT leadership can include improved academic achievement by students, improved student attendance and reduced attrition, better vocational preparation of students, more efficient administrative operations, and reduced teacher/staff burnout and turnover. The main objectives of this study are to investigate principals’ ICT leadership practices in their respective colleges and the methods and strategies principals use to lead technology integration into the educational environment. Qualitative as well as quantitative data were collected by means of semi-structured interviews and questionnaires that were administered to teachers and principals of professional colleges. This study reveals that technology integration as an instructional strategy needs to be learned in the wider context of changing pedagogy and paradigms of thought about technology use in education. Principals who effectively lead ICT integration within their colleges classically perform well in leadership and management, vision and goal setting, student learning, teaching, professional development and training, operations and infrastructure support, and assessment and evaluation. © Springer India 2014."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,The impact of leadership on student outcomes: An analysis of the differential effects of leadership types,"Robinson, V.M.J.; Lloyd, C.A.; Rowe, K.J.",2008,Educational Administration Quarterly,10.1177/0013161x08321509,,"Purpose: The purpose of this study was to examine the relative impact of different types of leadership on students' academic and nonacademic outcomes. Research Design: The methodology involved an analysis of findings from 27 published studies of the relationship between leadership and student outcomes. The first meta-analysis, including 22 of the 27 studies, involved a comparison of the effects of transformational and instructional leadership on student outcomes. The second meta-analysis involved a comparison of the effects of five inductively derived sets of leadership practices on student outcomes. Twelve of the studies contributed to this second analysis. Findings: The first meta-analysis indicated that the average effect of instructional leadership on student outcomes was three to four times that of transformational leadership. Inspection of the survey items used to measure school leadership revealed five sets of leadership practices or dimensions: establishing goals and expectations; resourcing strategically; planning, coordinating, and evaluating teaching and the curriculum; promoting and participating in teacher learning and development, and ensuring an orderly and supportive environment. The second meta-analysis revealed strong average effects for the leadership dimension involving promoting and participating in teacher learning and development and moderate effects for the dimensions concerned with goal setting and planning, coordinating, and evaluating teaching and the curriculum. Conclusions and Implications for Research and Practice: The comparisons between transformational and instructional leadership and between the five leadership dimensions suggested that the more leaders focus their relationships, their work, and their learning on the core business of teaching and learning, the greater their influence on student outcomes. The article concludes with a discussion of the need for leadership research and practice to be more closely linked to the evidence on effective teaching and effective teacher learning. Such alignment could increase the impact of school leadership on student outcomes even further. © 2008 The University Council for Educational Administration."
data_rawScopus_2025-08-22_TL_AcademicAchievement_19.ris,ris,Successful School Principals in Socioeconomically Disadvantaged Schools: A Grounded Theory Research from Turkish Context,"Duran, A.; Cemaloğlu, N.",2024,Participatory Educational Research,10.17275/per.24.50.11.4,,"The purpose of this study was to delve into the characteristics, professional competencies, leadership attitudes, and behaviors of successful school principals (SSPs) in socioeconomically disadvantaged schools. Utilizing a systematic grounded theory method (SGTM), we conducted research in the provinces of Amasya, Çorum, Samsun, and Tokat in Türkiye. Purposeful and theoretical sampling methods were employed to recruit successful school principals, deputy principals, teachers, students, and parents from secondary schools affiliated with the Ministry of National Education (MoNE). The data draws on unstructured individual and focus group interviews, as well as documents and observations. All the data obtained were inductively analyzed through open, axis, and selective coding stages. Based on the codes, sub-categories, categories, themes, and dimensions from the analyses, we designed the Contextual Successful School Principalship Model (CSSPM), which falls into four dimensions as follows: individual, managerial, organizational, and instructional. SSPs in this study mostly tend to display paternalistic leadership attitudes and behaviors in terms of dedication and self-sacrifice, serving, intrinsic motivation, and influencing stakeholders. They exhibit almost all the attitudes and behaviors of servant leadership, act according to some national and moral values, and experience national attitudes such as patriotism and nationalism intensely. By giving importance to the academic socialization of students' mothers, successful school principals exhibit transformational and instructional leadership behaviors. They act strategically to directly involve mothers in enhancing student achievement, demonstrating their commitment to fostering an inclusive and supportive educational environment. © 2024, Ozgen Korkmaz. All rights reserved."
