key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files,[]
rayyan-304195114,Successful School Principals in Socioeconomically Disadvantaged Schools: A Grounded Theory Research from Turkish Context,2024.0,1,1,,,,,,"Duran, A. and Cemaloğlu, N.",,,,,"The purpose of this study was to delve into the characteristics, professional competencies, leadership attitudes, and behaviors of successful school principals (SSPs) in socioeconomically disadvantaged schools. Utilizing a systematic grounded theory method (SGTM), we conducted research in the provinces of Amasya, Çorum, Samsun, and Tokat in Türkiye. Purposeful and theoretical sampling methods were employed to recruit successful school principals, deputy principals, teachers, students, and parents from secondary schools affiliated with the Ministry of National Education (MoNE). The data draws on unstructured individual and focus group interviews, as well as documents and observations. All the data obtained were inductively analyzed through open, axis, and selective coding stages. Based on the codes, sub-categories, categories, themes, and dimensions from the analyses, we designed the Contextual Successful School Principalship Model (CSSPM), which falls into four dimensions as follows: individual, managerial, organizational, and instructional. SSPs in this study mostly tend to display paternalistic leadership attitudes and behaviors in terms of dedication and self-sacrifice, serving, intrinsic motivation, and influencing stakeholders. They exhibit almost all the attitudes and behaviors of servant leadership, act according to some national and moral values, and experience national attitudes such as patriotism and nationalism intensely. By giving importance to the academic socialization of students' mothers, successful school principals exhibit transformational and instructional leadership behaviors. They act strategically to directly involve mothers in enhancing student achievement, demonstrating their commitment to fostering an inclusive and supportive educational environment. © 2024, Ozgen Korkmaz. All rights reserved.","",,"",,,"",""
rayyan-304195132,Relationship between Principal Leadership Style and Student Achievement: A Comparative Study between Germany and China,2022.0,1,1,,,,,,"Chen, D. and Ning, B. and Bos, W.",,,,,"This article explored the different clusters of leadership styles and the relationship between principal leadership style and student academic achievement in domains of mathematics, reading, science, and collaborative problem-solving in Germany and China. We used PISA 2015 data covering 6,504 students and 256 school principals from German schools and 9,841 students and 268 school leaders from Chinese schools. Results identified three leadership styles in Germany, namely, transformational (23.4%), instructional (41.3%), and integrated (35.3%) leadership, and two leadership styles in China, namely, transformational (38.6%) and instructional (61.4%) principals. Principals with instructional and integrated leadership had higher student achievements in Germany, whereas only principals with transformational leadership had slightly higher student achievements in China. Moreover, three leadership styles in Germany and two in China showed their relationships with each domain of student achievement. In conclusion, principals in Germany and China had different priorities in leading schools. The differences that principal leadership made on student achievements highlighted the differences in principals’ situational context and leading characteristics between Germany and China. © 2022 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195133,The Perceptions of Students and Principals on the Improvement of Students' Achievements by the Managerial and Transformational Leadership Styles,2021.0,1,1,,,,,,"Xhomara, N. and Karabina, M. and Hasani, N.",,,,,"Annotation. The study aimed to investigate the impact of managerial and transformational leadership styles on students’ achievements. The quantitative approach, a structured question-naire, and a random cluster sample of respondents were used in the study. The study indicated a positive correlation between managerial leadership and students‘ achievements. At the same time, the study revealed that 9.9% of the variance according to students and 44.4% according to principals on students‘ achievements is explained by managerial leadership. © 2025 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195142,"A study on the correlation between school administrators' perceptions of school discipline policies, transformational leadership, and student achievement",2020.0,1,1,,,,,,"Tookes, G.D. and Aly, E.R. and Avant, I.M.",,,,,"The study investigated how principals and assistant principals perceived their school discipline policies and their impact on student achievement. The investigator conducted a mixed method study using a survey questionnaire (to include research developed questions and questions from the Belief on Discipline Survey) and an open-ended question. The study examined principals and assistant principals who lead in secondary schools in northern Florida and assessed differences in the implementation of discipline policies between high poverty low-achieving (HPLA) and high poverty high-achieving (HPHA) schools and the impact on student achievement. The study also examined the factors these principals and assistant principals perceived as facilitating and hindering discipline policy. Descriptive statistics were used to examine demographic data. The study used a one-way analysis of variance (ANOVA) to assess differences in the perceived impact of school discipline policies on student achievement between principals and assistant principals (APs) at HPHA schools and HPLA schools. Qualitative data were analyzed using the constant comparative method. The results of this study suggest there were significant differences in the characteristics of principals and APs serving high poverty (HP) schools, differences in how principals and APs in HP schools perceive their discipline practices in relationship to student success. Also, the findings suggest there are some differences in the qualities of transformational leadership (TL) between principals and APs HPHA and HPLA schools. © 2020 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195148,School leadership and its impact on student achievement: The mediating role of school climate and teacher job satisfaction,2016.0,1,1,,,,,,"Dutta, V. and Sahney, S.",,,,,"Purpose – The purpose of this paper is to examine the role of teacher job satisfaction and school climate in mediating the relative effects of principals’ instructional and transformational leadership practices on student outcomes. Design/methodology/approach – Guided by strong evidence from theories on school leadership and work psychology, the authors hypothesized relations among dimensions of principals’ instructional and transformational leadership behaviors, teachers’ perception of the school climate (social and affective, and physical environment), their job satisfaction and student achievement. The benefits of the principal’s leadership behaviors for student achievement are primarily hypothesized as indirect, with either a weak or statistically non-significant direct positive effect on student outcomes. Path modeling was applied to validate a mediated-effects model using cross-sectional survey data (306 principals, 1,539 teachers) obtained from 306 secondary schools in the two Indian metropolitan cities of New Delhi and Kolkata. Findings – Principal leadership behaviors were not associated directly with either teacher job satisfaction or school-aggregated student achievement. Rather, the transformational leader behavior showed an indirect effect, through the social and affective component of the school climate, on teacher job satisfaction. The physical climate, however, appeared to play a dominating role in mediating the instructional leadership effects on teacher job satisfaction. Comparing the relative indirect effect sizes of the instructional and transformational leadership behaviors on student achievement, principals appear to favor the former approach. Originality/value – This study provides further empirical evidence that instructional leadership better captures the impact of school leadership on student outcomes, when compared to its transformational counterpart. By identifying the relative effects of different leadership practices, school leaders and educational practitioners can focus more on altering the distribution and frequency of those practices that work best for ameliorating student achievement levels. © 2016 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195150,The Impact of Leadership on Student Outcomes: How Successful School Leaders Use Transformational and Instructional Strategies to Make a Difference,2016.0,1,1,,,,,,"Day, C. and Gu, Q. and Sammons, P.",,,,,"Purpose: This article illustrates how successful leaders combine the too often dichotomized practices of transformational and instructional leadership in different ways across different phases of their schools’ development in order to progressively shape and “layer” the improvement culture in improving students’ outcomes. Research Methods: Empirical data were drawn from a 3-year mixed-methods national study (“Impact Study”) that investigated associations between the work of principals in effective and improving primary and secondary schools in England and student outcomes as defined (but not confined) by their national examination and assessment results over 3 years. The research began with a critical survey of the extant literature, followed by a national survey that explored principals’ and key staff’s perceptions of school improvement strategies and actions that they believed had helped foster better student attainment. This was complemented by multiperspective in-depth case studies of a subsample of 20 schools. Findings: The research provides new empirical evidence of how successful principals directly and indirectly achieve and sustain improvement over time through combining both transformational and instructional leadership strategies. The findings show that schools’ abilities to improve and sustain effectiveness over the long term are not primarily the result of the principals’ leadership style but of their understanding and diagnosis of the school’s needs and their application of clearly articulated, organizationally shared educational values through multiple combinations and accumulations of time and context-sensitive strategies that are “layered” and progressively embedded in the school’s work, culture, and achievements. Implications: Mixed-methods research designs are likely to provide finer grained, more nuanced evidence-based understandings of the leadership roles and behaviors of principals who achieve and sustain educational outcomes in schools than single lens quantitative analyses, meta-analyses, or purely qualitative approaches. The findings themselves provide support for more differentiated, context sensitive training and development for aspiring and serving principals. © 2016 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195158,Culture Re-Boot: Reinvigorating school culture to improve student outcomes,2013.0,1,1,,,,,,"Kaplan, L.S. and Owings, W.A.",,,,,"Your start-up menu for super-charged culture change There's an invisible thread woven through your school that defines everything from dress codes to student success. It's your school culture, and reshaping it will yield highly visible improvements for teachers and students. Leslie Kaplan and William Owings guide you in improving leadership, teaching, learning, confidence, and trust throughout your school. Culture Re-Boot reframes school culture to include organizational learning, relational trust, accountability, program improvement, and teacher effectiveness while showing you how to: Be the transformational leader your school needs to reinvigorate your school culture; Establish a student-centered learning culture focused on student outcomes; Engage teachers in culture-focused leadership teams that support teacher and student learning; Get parents and community on-board to collaborate for student achievement; Connect professional development and school culture for maximum results Packed with hands-on culture re-boot activities to help school leaders and faculty revitalize their school's values and practices, this practical handbook for school improvement will energize your school's culture and build the capacity to help all students succeed. “Ever since Seymour Sarason wrote his seminal book on The Culture of Schools and the Problem of Change, we have known that ‘culture’ is at the heart of all organizational performance. But reformers keep forgetting this key fact. Kaplan and Owings’ book changes all that. Now in one place you can find everything you need to know to ‘re-boot’ you own school's culture.” —Michael Fullan, Author of Motion Leadership “As a principal focused on student achievement and school climate, I am excited to begin using these strategies and discussions to drive our conversations to a deeper and more meaningful level. The combination of school culture, professional learning community, and teacher/community leadership provides a compelling and unique exploration of real methods to sustain student achievement and school improvement.” —William Richard Hall, Jr., Principal R. C. Longan Elementary School, Henrico, VA. © 2015 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195168,Transformational Leadership: How Principals Can Help Reform School Cultures,1990.0,1,1,,,,,,"Leithwood, K. and Jantzi, D.",,,,,"Collaborative school cultures have been associated with the achievement of a number of school reform objectives for both teachers and students. Little is known, however, about how such cultures develop and whether or how school administrators can facilitate that process. This study examined the practices of administrators in each of 12 schools which had developed highly collaborative professional relationships over a three year period in the context of school improvement initiatives. Results suggest the feasibility of developing more collaborative school cultures in a relatively brief period of time and clarify the role played by the larger context of school improvement for fostering collaboration. Specific strategies used by the administrators are described. These strategies are associated with a concept of leadership termed “transformational”. © 1990, Taylor & Francis Group, LLC. All rights reserved. © 2015 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195191,"The effect of instructional, transformational and spiritual leadership on elementary school teachers’ performance and students’ achievements",2021.0,1,1,,,,,,"Nurabadi, A. and Irianto, J. and Bafadal, I. and Gunawan, I. and Adha, M.A.",,,,,"Persistence for achievement reflected from the willingness and determination of principal to implement quality leadership will facilitate the improvement of teachers’ performance, and the two will be the determinant factors for the students’ ultimate achievement. This study aims at analyzing empirical data on the effect of instructional, transformational and spiritual leadership as independent variables, with school quality as the dependent variable. In addition, the intervening variable is teachers’ performance. This study employed the quantitative approach in which samples of 181 teachers were re taken using the proportional random sampling technique. All data were then analysed using the SEM technique with the AMOS 24 application. The findings show that: (1) there is a direct effect of instructional leadership on teachers’ performance, transformational leadership on teachers’ performance, spiritual leadership on teachers’ performance, instructional leadership on students’ achievement, transformational leadership on students’ achievement, spiritual leadership on students’ achievement, and teachers’ performance on students’ achievement. In addition, (2) there is an indirect effect of instructional leadership on students’ achievement through teachers’ performance, transformational leadership on students’ achievement through teachers’ performance and spiritual leadership on students’ achievement through teachers’ performance. © 2021 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195207,The impact of leadership on student outcomes: An analysis of the differential effects of leadership types,2014.0,1,1,,,,,,"Robinson, V.M.J. and Lloyd, C.A. and Rowe, K.J.",,,,,"The purpose of this study was to examine the relative impact of different types of leadership on students’ academic and nonacademic outcomes. The methodology involved an analysis of findings from 27 published studies of the relationship between leadership and student outcomes. The first meta-analysis, including 22 of the 7 studies, involved a comparison of the effects of transformational and instructional leadership on student outcomes. The second meta-analysis involved a comparison of the effects of five inductively derived sets of leadership practices on student outcomes. Twelve of the studies contributed to this second analysis. The first meta-analysis indicated that the average effect of instructional leadership on student outcomes was three to four times that of transformational leadership. Inspection of the survey items used to measure school leadership revealed five sets of leadership practices or dimensions: establishing goals and expectations; resourcing strategically; planning, coordinating, and evaluating teaching and the curriculum; promoting and participating in teacher learning and development, and ensuring an orderly and supportive environment. The second meta-analysis revealed strong average effects for the leadership dimension involving promoting and participating in teacher learning and development and moderate effects for the dimensions concerned with goal setting and planning, coordinating, and evaluating teaching and the curriculum. The comparisons between transformational and instructional leadership and between the five leadership dimensions suggested that the more leaders focus their relationships, their work, and their learning on the core business of teaching and learning, the greater their influence on student outcomes. The article concludes with a discussion of the need for leadership research and practice to be more closely linked to the evidence on effective teaching and effective teacher learning. Such alignment could increase the impact of school leadership on student outcomes even further. © 2022 Elsevier B.V., All rights reserved.","",,"",,,"",""
