Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Li, Ling; Liu, Yan; ",An integrated model of principal transformational leadership and teacher leadership that is related to teacher self-efficacy and student academic performance,Asia Pacific Journal of Education,42,4,661-678,2022,Taylor & Francis
"Sun, Jingping; Leithwood, Kenneth; ",Transformational school leadership effects on student achievement,Leadership and Policy in Schools,11,4,418-451,2012,Taylor & Francis
"Hou, Yanyan; Cui, Yiran; Zhang, Danhui; ",Impact of instructional leadership on high school student academic achievement in China,Asia pacific education review,20,4,543-558,2019,Springer
"Meng, Xu-Hao; Chang, Yuan-Cheng; ","Impact of Students' Perceptions of Teachers' Transformational Leadership on Academic Achievement in Applied Universities in Hebei Province, China: Mediation by Psychological Capital and Self-Regulation, Moderation by Conscientiousness.",International Journal of Interdisciplinary Social & Community Studies,20,1,,2025,
"Karadağ, Engin; Sertel, Gulsum; ",The effect of educational leadership on students’ achievement: A cross-cultural meta-analysis research on studies between 2006 and 2024,Educational Management Administration & Leadership,,,17411432251327645,2025,"SAGE Publications Sage UK: London, England"
"Çoban, Ömür; Özdemir, Nedim; Bellibaş, Mehmet Şükrü; ","Trust in principals, leaders’ focus on instruction, teacher collaboration, and teacher self-efficacy: Testing a multilevel mediation model",Educational Management Administration & Leadership,51,1,95-115,2023,"Sage Publications Sage UK: London, England"
"Zhang, Wei; ",School principals as leaders of educational environments in school settings: Recontextualization of American educational practices in China,,,,,2023,Western Michigan University
"Caballero, Camila; Scherer, Ethan; West, Martin R; Mrazek, Michael D; Gabrieli, Christopher FO; Gabrieli, John DE; ",Greater mindfulness is associated with better academic achievement in middle school,"Mind, Brain, and Education",13,3,157-166,2019,Wiley Online Library
"Suárez-Orozco, Carola; Gaytán, Francisco X; Bang, Hee Jin; Pakes, Juliana; O'connor, Erin; Rhodes, Jean; ",Academic trajectories of newcomer immigrant youth.,Developmental psychology,46,3,602,2010,American Psychological Association
"Veeriah, Jeyasushma; ","The relationship between principal transformational leadership practices, teacher organizational commitment, and school culture in primary cluster schools in Selangor",,,,,2017,University of Malaya (Malaysia)
"Jeyasushma, Veeriah; ","The relationship between principal transformational leadership practices, teacher organizational commitment, and school culture in Primary Cluster Schools in Selangor/Jeyasushma Veeriah",,,,,2017,University of Malaya
"Tang, Ying; ",Comparative Study of School and Science Teacher Technology Leaderships in High and Middle Schools in the United States and China,,,,,2016,
"Su, Mengchen; ","The mediation effect of student engagement on the relationship between school climate, socioemotional well-being, and academic achievement: A cross-cultural comparative study of China, Korea, Finland, and the US",,,,,2021,State University of New York at Buffalo
"Kin, Tai Mei; Abdull Kareem, Omar; ",A comparative analysis on principal change leadership competencies in Malaysian high-and mediocre-performing secondary schools,Asia Pacific Journal of Education,38,3,394-413,2018,Taylor & Francis
"Liu, Dongfang; ",An exploration of experiences of low socioeconomic Chinese students who achieved high scores on the national college entrance exam,,,,,2017,University of Northern Colorado
"Boun, Tem; ",Examining transformational leadership traits between Asian and Caucasian Americans in higher education,,,,,2014,University of Phoenix
"Fowler, Spencer Aaron Matthew; ",Chinese Public Education and Global Social Justice: The Organizational Challenges of Initiating an Access Scholarship in a Chinese Public School,,,,,2019,
"Wu, Suhan; Duan, Jingyi; Luo, Min; ",Evaluating and analyzing student labor literacy in China's higher vocational education: an assessment model approach,Frontiers in Education,9,,1361224,2024,Frontiers Media SA
"Vierra, Robyn Wakalua; ",Critical thinking: Assessing the relationship with academic achievement and demographic factors,,,,,2014,University of Minnesota
"Barrett, Andrew; ",Transformative leadership and the purpose of schooling in affluent communities,,,,,2012,University of Illinois at Urbana-Champaign
"Halimi, Florentina; AlShammari, Iqbal; Navarro, Cristina; ",Emotional intelligence and academic achievement in higher education,Journal of Applied Research in Higher Education,13,2,485-503,2021,Emerald Publishing Limited
"Jeynes, William H; ",A meta-analysis: The relationship between the parental expectations component of parental involvement with students’ academic achievement,Urban education,59,1,63-95,2024,"SAGE Publications Sage CA: Los Angeles, CA"
"Banatao, Eric J; ",Educational Resilience: The Relationship between School Protective Factors and Student Achievement.,Online Submission,,,,2011,ERIC
"Alexander, Stacey Marie; ","Relationships among Trait Emotional Intelligence, Academic Achievement, and Athletic Participation in Eighth-Grade Students",,,,,2018,Union University
"Olson, Carrie A; ","The Meaning of Educational Travel in the Lives of Urban Middle School Students in a Low-Income Neighborhood: A Transformative, Sequential Mixed Methods Study",,,,,2016,University of Denver
